Setting logging level to DEBUG
2018-11-03 14:08:16.984+01:00 | main | INFO  | KeyPairUtil | Loaded key 0x2fc3ba7895aaef1b62235531272f86adfec3567c89f373660fcf0ffced2d4e727ffa63af145525b3bebe8c997cbb888240b7fa449212666d7d161474c241254a from /home/jordan/pantheon/build/install/pantheon/key
2018-11-03 14:08:19.991+01:00 | nioEventLoopGroup-2-1 | INFO  | NettyP2PNetwork | P2PNetwork started and listening on /0:0:0:0:0:0:0:0:30303
2018-11-03 14:08:20.014+01:00 | main | INFO  | Runner | Starting Ethereum main loop ... 
2018-11-03 14:08:20.014+01:00 | main | INFO  | NetworkRunner | Starting Network.
2018-11-03 14:08:20.023+01:00 | main | INFO  | DefaultSynchronizer | Starting synchronizer.
2018-11-03 14:08:20.031+01:00 | NetworkRunner | INFO  | PeerDiscoveryAgent | Starting peer discovery agent on host=0.0.0.0, port=30303
2018-11-03 14:08:20.033+01:00 | main | INFO  | WaitForPeersTask | Waiting for 1 peers to connect.
2018-11-03 14:08:20.041+01:00 | main | INFO  | Runner | Ethereum main loop is up.
2018-11-03 14:08:20.134+01:00 | vert.x-eventloop-thread-1 | INFO  | PeerDiscoveryAgent | Started peer discovery agent successfully, on effective host=0.0.0.0 and port=30303
2018-11-03 14:08:20.587+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Prepared ECIES handshake with node 0xa979fb575495b8d6db44f750317d0f46... under INITIATOR role
2018-11-03 14:08:20.649+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | First ECIES handshake message under INITIATOR role: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.InitiatorHandshakeMessageV4@6ed377b0
2018-11-03 14:08:20.686+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Prepared ECIES handshake with node 0x78de8a0916848093c73790ead81d1928... under INITIATOR role
2018-11-03 14:08:20.712+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | First ECIES handshake message under INITIATOR role: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.InitiatorHandshakeMessageV4@420d4023
2018-11-03 14:08:20.722+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Prepared ECIES handshake with node 0x158f8aab45f6d19c6cbf4a089c267054... under INITIATOR role
2018-11-03 14:08:20.738+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | First ECIES handshake message under INITIATOR role: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.InitiatorHandshakeMessageV4@3c5c402e
2018-11-03 14:08:20.748+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Prepared ECIES handshake with node 0xefad3d812040e121ac22d78d1c3209cc... under INITIATOR role
2018-11-03 14:08:20.759+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | First ECIES handshake message under INITIATOR role: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.InitiatorHandshakeMessageV4@294d7cb7
2018-11-03 14:08:20.764+01:00 | nioEventLoopGroup-3-1 | DEBUG | HandshakeHandlerOutbound | Wrote initial crypto handshake message to /52.16.188.185:30303.
2018-11-03 14:08:20.784+01:00 | nioEventLoopGroup-3-1 | DEBUG | HandshakeHandlerOutbound | Wrote initial crypto handshake message to /40.115.37.119:30303.
2018-11-03 14:08:20.815+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Received responder's ECIES handshake message from node 0xa979fb575495b8d6db44f750317d0f46...: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.ResponderHandshakeMessageV4@20366af
2018-11-03 14:08:20.820+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Handshake status set to SUCCESS
2018-11-03 14:08:20.823+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Sending framed hello
2018-11-03 14:08:20.847+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Successfully wrote hello message
2018-11-03 14:08:20.968+01:00 | nioEventLoopGroup-3-1 | DEBUG | HandshakeHandlerOutbound | Wrote initial crypto handshake message to /191.235.84.50:30303.
2018-11-03 14:08:21.062+01:00 | nioEventLoopGroup-3-1 | DEBUG | HandshakeHandlerOutbound | Wrote initial crypto handshake message to /13.75.154.138:30303.
2018-11-03 14:08:21.195+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Received responder's ECIES handshake message from node 0x78de8a0916848093c73790ead81d1928...: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.ResponderHandshakeMessageV4@46dfc59c
